fileName,subject,imgNum,label,ang,xF,yF,wF,hF,xRE,yRE,xLE,yLE,xN,yN,xRM,yRM,xLM,yLM
20130529_01_Driv_001_f ,1,1,2,0,292,209,100,112,323,232,367,231,353,254,332,278,361,278
20130529_01_Driv_002_f ,1,2,2,0,286,200,109,128,324,235,366,235,353,258,333,281,361,281
20130529_01_Driv_003_f ,1,3,2,0,290,204,105,121,325,240,367,239,351,260,334,282,362,282
20130529_01_Driv_004_f ,1,4,2,0,287,202,112,118,325,230,369,230,353,253,335,274,362,275
20130529_01_Driv_005_f ,1,5,2,0,290,193,104,119,325,224,366,225,353,244,333,268,363,268
20130529_01_Driv_006_f ,1,6,2,0,290,204,105,118,324,231,368,232,351,253,335,277,362,276
20130529_01_Driv_007_f ,1,7,2,0,286,211,109,116,325,239,367,239,350,261,333,282,360,284
20130529_01_Driv_008_f ,1,8,2,0,283,220,108,112,321,244,366,246,347,267,326,289,359,289
20130529_01_Driv_009_f ,1,9,2,0,284,216,106,111,320,243,363,242,345,264,329,286,353,285
20130529_01_Driv_010_f ,1,10,2,0,279,212,110,105,319,232,362,232,344,254,327,277,356,277
20130529_01_Driv_011_f ,1,11,2,0,287,214,104,122,319,240,364,240,346,259,326,285,356,284
20130529_01_Driv_012_f ,1,12,2,0,287,223,98,109,316,246,359,247,344,266,324,291,355,290
20130529_01_Driv_013_f ,1,13,2,0,285,223,102,108,316,246,360,246,344,266,327,289,356,288
20130529_01_Driv_014_f ,1,14,2,0,287,224,103,107,321,245,364,246,347,266,327,291,359,289
20130529_01_Driv_015_f ,1,15,2,0,288,211,103,106,320,236,362,235,348,255,327,279,357,277
20130529_01_Driv_016_f ,1,16,2,0,288,215,102,111,324,233,367,231,350,255,330,285,359,284
20130529_01_Driv_017_f ,1,17,2,0,282,209,108,109,318,232,362,231,346,252,328,277,358,277
20130529_01_Driv_018_f ,1,18,2,0,283,249,110,108,319,270,364,270,347,290,328,314,356,315
20130529_01_Driv_019_f ,1,19,2,0,282,235,115,126,324,264,367,265,350,287,331,311,359,312
20130529_01_Driv_020_f ,1,20,2,0,285,232,115,117,326,259,370,260,353,283,334,306,361,306
